date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,7,4,7,4,23,90,98,2.4,1019,11,6,189,13,washington
2011-01-02,8,-0,0.0,3.5,2,7,05:58 AM,03:28 PM,07:27 AM,04:58 PM,5,3,6,3,23,74,92,8.9,1017,8,7,306,14,washington
2011-01-03,6,-3,0.0,8.7,2,0,06:50 AM,04:27 PM,07:27 AM,04:58 PM,-8,-4,0,-4,16,3,55,0.0,1024,6,10,283,12,washington
2011-01-04,6,-3,0.0,8.7,2,0,07:34 AM,05:30 PM,07:27 AM,04:59 PM,-6,-3,1,-3,18,10,64,0.0,1016,6,10,216,11,washington
2011-01-05,4,-3,0.0,8.7,2,0,08:12 AM,06:32 PM,07:27 AM,05:00 PM,-6,-4,-0,-4,14,16,68,0.0,1014,4,10,240,9,washington
2011-01-06,4,-3,0.0,8.7,1,7,08:44 AM,07:34 PM,07:27 AM,05:01 PM,-7,-3,-0,-3,11,34,63,0.0,1006,4,10,159,6,washington
2011-01-07,1,-2,0.5,8.7,1,14,09:12 AM,08:33 PM,07:27 AM,05:02 PM,-7,-5,-1,-5,15,47,66,0.6,998,1,9,231,10,washington
2011-01-08,1,-6,0.3,5.3,1,21,09:38 AM,09:31 PM,07:27 AM,05:03 PM,-8,-7,-2,-7,23,65,65,0.3,1000,1,9,239,16,washington
2011-01-09,-0,-6,0.0,8.7,2,29,10:02 AM,10:28 PM,07:27 AM,05:04 PM,-12,-11,-4,-11,31,9,55,0.0,1020,-0,10,301,22,washington
2011-01-10,0,-6,0.0,7.0,1,36,10:25 AM,11:26 PM,07:27 AM,05:05 PM,-9,-8,-3,-8,17,32,63,0.0,1027,0,10,313,12,washington
2011-01-11,2,-4,3.6,3.7,1,43,10:51 AM,No moonset,07:27 AM,05:06 PM,-5,-4,-2,-4,9,72,77,4.2,1021,2,7,188,6,washington
2011-01-12,0,-5,0.0,5.4,1,51,11:18 AM,12:23 AM,07:27 AM,05:07 PM,-6,-9,-3,-9,30,58,80,0.0,1013,0,10,280,19,washington
2011-01-13,-1,-7,0.0,3.7,1,58,11:49 AM,01:23 AM,07:26 AM,05:08 PM,-7,-11,-4,-11,28,45,81,0.0,1026,-1,10,309,18,washington
2011-01-14,0,-7,0.0,8.7,2,65,12:25 PM,02:23 AM,07:26 AM,05:09 PM,-8,-8,-4,-8,14,30,77,0.0,1029,0,10,279,9,washington
2011-01-15,4,-5,0.0,8.7,2,72,01:08 PM,03:25 AM,07:26 AM,05:10 PM,-5,-4,-1,-4,18,37,76,0.0,1020,4,10,195,10,washington
2011-01-16,1,-4,0.0,8.7,1,80,02:00 PM,04:25 AM,07:25 AM,05:11 PM,-5,-5,-1,-5,16,24,78,0.0,1021,1,10,294,10,washington
2011-01-17,1,-3,0.0,3.7,1,87,03:00 PM,05:23 AM,07:25 AM,05:12 PM,-6,-6,-2,-6,12,90,72,1.9,1025,1,9,63,9,washington
2011-01-18,2,-1,0.0,5.4,1,94,04:07 PM,06:15 AM,07:24 AM,05:13 PM,-0,-3,0,-3,18,74,96,10.7,1011,2,7,227,12,washington
2011-01-19,8,0,0.0,7.0,1,100,05:20 PM,07:01 AM,07:24 AM,05:15 PM,2,-0,3,-0,17,40,93,2.9,1010,8,9,277,10,washington
2011-01-20,4,-3,0.0,5.4,1,100,06:34 PM,07:41 AM,07:23 AM,05:16 PM,-2,-2,1,-2,15,59,84,0.2,1017,4,9,205,9,washington
2011-01-21,-2,-7,0.1,8.7,2,84,07:48 PM,08:16 AM,07:23 AM,05:17 PM,-7,-10,-3,-10,31,28,73,0.1,1010,-2,10,292,21,washington
2011-01-22,-3,-9,0.0,5.4,1,77,09:01 PM,08:49 AM,07:22 AM,05:18 PM,-16,-11,-6,-11,11,41,45,0.0,1016,-3,10,301,9,washington
2011-01-23,-3,-8,0.0,8.7,2,69,10:13 PM,09:20 AM,07:22 AM,05:19 PM,-14,-11,-6,-11,19,14,51,0.0,1021,-3,10,309,13,washington
2011-01-24,-2,-8,0.0,8.7,2,62,11:25 PM,09:51 AM,07:21 AM,05:20 PM,-12,-9,-5,-9,13,24,58,0.0,1030,-2,10,156,9,washington
2011-01-25,8,-4,0.0,8.7,2,55,No moonrise,10:24 AM,07:20 AM,05:21 PM,-5,-2,1,-2,14,28,70,0.0,1022,8,10,134,8,washington
2011-01-26,2,-1,20.3,3.8,1,48,12:35 AM,11:00 AM,07:20 AM,05:23 PM,-0,-5,0,-5,26,89,96,39.9,1009,2,6,110,17,washington
2011-01-27,1,-6,0.0,8.7,1,40,01:45 AM,11:42 AM,07:19 AM,05:24 PM,-3,-6,-2,-6,20,23,92,0.0,1013,1,10,262,12,washington
2011-01-28,1,-4,1.0,5.4,1,33,02:51 AM,12:28 PM,07:18 AM,05:25 PM,-2,-4,-1,-4,12,70,98,1.2,1011,1,5,221,7,washington
2011-01-29,2,-7,0.0,5.4,1,26,03:52 AM,01:21 PM,07:17 AM,05:26 PM,-2,-5,-2,-5,15,59,96,0.1,1016,2,5,184,9,washington
2011-01-30,3,-4,0.0,3.8,1,19,04:45 AM,02:19 PM,07:17 AM,05:27 PM,-1,-3,-0,-3,11,67,97,0.0,1021,3,2,229,6,washington
2011-01-31,-2,-4,0.1,5.4,1,15,05:32 AM,03:20 PM,07:16 AM,05:28 PM,-4,-7,-3,-7,14,60,93,0.1,1030,-2,9,55,9,washington
2011-02-01,2,-2,0.0,3.8,1,0,06:11 AM,04:21 PM,07:15 AM,05:30 PM,-0,-2,0,-2,8,94,98,0.5,1023,2,1,103,5,washington
2011-02-02,10,-3,0.0,7.1,2,0,06:44 AM,05:23 PM,07:14 AM,05:31 PM,3,-1,3,-1,29,54,96,13.3,1012,10,9,205,16,washington
2011-02-03,0,-6,0.0,8.7,2,0,07:14 AM,06:22 PM,07:13 AM,05:32 PM,-5,-7,-3,-7,18,13,83,0.0,1029,0,10,307,12,washington
