date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01 00:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,-0,3,-0,11,100,99,0.0,1022,3,0,207,5,washington
2011-01-01 01:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,-0,3,-0,14,100,99,0.0,1022,3,0,202,7,washington
2011-01-01 02:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,2,-0,3,-0,17,100,99,0.0,1021,3,0,196,9,washington
2011-01-01 03:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,2,-1,2,-1,21,100,99,0.0,1021,2,0,191,10,washington
2011-01-01 04:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,2,-1,2,-1,19,89,99,0.0,1021,2,3,187,9,washington
2011-01-01 05:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,2,-1,3,-1,18,78,99,0.0,1020,3,7,183,9,washington
2011-01-01 06:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,3,-1,3,-1,16,67,99,0.0,1020,3,10,179,8,washington
2011-01-01 07:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,4,1,4,1,21,70,98,0.0,1020,4,10,186,12,washington
2011-01-01 08:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,5,2,6,2,27,74,96,0.0,1020,6,10,193,17,washington
2011-01-01 09:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,6,3,7,3,33,78,94,0.0,1020,7,10,200,22,washington
2011-01-01 10:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,7,5,8,5,28,76,94,0.0,1019,8,10,193,18,washington
2011-01-01 11:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,8,6,9,6,23,75,93,0.0,1019,9,10,186,14,washington
2011-01-01 12:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,9,8,10,8,18,73,92,0.0,1019,10,10,179,10,washington
2011-01-01 13:00:00,11,2,0.0,3.5,2,15,04:58 AM,02:31 PM,07:27 AM,04:57 PM,10,8,10,8,23,82,95,0.0,1019,10,10,183,12,washington
